hcpc_code_id,short_description,long_description
0,TBD,TBD
0001F,Heart failure composite,"HEART FAILURE ASSESSED (INCLUDES ASSESSMENT OF ALL THE FOLLOWING COMPONENTS) (CAD): BLOOD PRESSURE MEASURED (2000F) LEVEL OF ACTIVITY ASSESSED (1003F) CLINICAL SYMPTOMS OF VOLUME OVERLOAD (EXCESS) ASSESSED (1004F) WEIGHT, RECORDED (2001F) CLINICAL SIGNS OF VOLUME OVERLOAD (EXCESS) ASSESSED (2002F)"
0001M,Infectious dis hcv 6 assays,"INFECTIOUS DISEASE, HCV, SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM, PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER"
0002M,Liver dis 10 assays w/ash,"LIVER DISEASE, TEN BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, HAPTOGLOBIN, AST, GLUCOSE, TOTAL CHOLESTEROL AND TRIGLYCERIDES) UTILIZING SERUM, PROGNOSTIC ALGORITHM REPORTED AS QUANTITATIVE SCORES FOR FIBROSIS, STEATOSIS AND ALCOHOLIC STEATOHEPATITIS (ASH)"
0003M,Liver dis 10 assays w/nash,"LIVER DISEASE, TEN BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, HAPTOGLOBIN, AST, GLUCOSE, TOTAL CHOLESTEROL AND TRIGLYCERIDES) UTILIZING SERUM, PROGNOSTIC ALGORITHM REPORTED AS QUANTITATIVE SCORES FOR FIBROSIS, STEATOSIS AND NONALCOHOLIC STEATOHEPATITIS (NASH)"
0004M,Scoliosis dna alys,"SCOLIOSIS, DNA ANALYSIS OF 53 SINGLE NUCLEOTIDE POLYMORPHISMS (SNPS), USING SALIVA, PROGNOSTIC ALGORITHM REPORTED AS A RISK SCORE"
0005F,Osteoarthritis composite,"OSTEOARTHRITIS ASSESSED (OA) INCLUDES ASSESSMENT OF ALL THE FOLLOWING COMPONENTS: OSTEOARTHRITIS SYMPTOMS AND FUNCTIONAL STATUS ASSESSED (1006F) USE OF ANTI-INFLAMMATORY OR OVER-THE-COUNTER (OTC) ANALGESIC MEDICATIONS ASSESSED (1007F) INITIAL EXAMINATION OF THE INVOLVED JOINT(S) (INCLUDES VISUAL INSPECTION, PALPATION, RANGE OF MOTION) (2004F)"
0006M,Onc hep gene risk classifier,"ONCOLOGY (HEPATIC), MRNA EXPRESSION LEVELS OF 161 GENES, UTILIZING FRESH HEPATOCELLULAR CARCINOMA TUMOR TISSUE, WITH ALPHA-FETOPROTEIN LEVEL, ALGORITHM REPORTED AS A RISK CLASSIFIER"
0007M,Onc gastro 51 gene nomogram,"ONCOLOGY (GASTROINTESTINAL NEUROENDOCRINE TUMORS), REAL-TIME PCR EXPRESSION ANALYSIS OF 51 GENES, UTILIZING WHOLE PERIPHERAL BLOOD, ALGORITHM REPORTED AS A NOMOGRAM OF TUMOR DISEASE INDEX"
0008M,Onc breast risk score,"ONCOLOGY (BREAST), MRNA ANALYSIS OF 58 GENES USING HYBRID CAPTURE, ON FORMALIN-FIXED PARAFFIN-EMBEDDED (FFPE) TISSUE, PROGNOSTIC ALGORITHM REPORTED AS A RISK SCORE"
